                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0286,                 3.0683,                 3.5603,                0.47548,                0.29866,                0.28422,                0.11212,                 2.4036,                 2.5499,                 2.6943,             0.00066267,             0.00066267,             0.00066267
                      2,                 2.4773,                 2.3332,                 2.7046,                0.43059,                0.38771,                0.35351,                0.15968,                 2.0907,                 2.2204,                 2.2569,              0.0013162,              0.0013162,              0.0013162
                      3,                 2.2645,                 2.0935,                 2.4157,                0.58276,                0.43341,                0.47011,                0.21949,                 1.9392,                 1.8392,                 2.0506,              0.0019565,              0.0019565,              0.0019565
                      4,                 2.1194,                 1.9387,                 2.2426,                0.65835,                0.49198,                0.53166,                 0.2591,                 1.9064,                 1.6908,                  1.986,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.0326,                 1.8011,                 2.1476,                0.77955,                0.49961,                0.58696,                0.30403,                 1.7874,                 1.6148,                 1.8993,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.9447,                  1.705,                 2.0685,                0.74977,                0.56107,                0.62662,                0.31011,                 1.8586,                 1.5721,                 1.9028,               0.001901,               0.001901,               0.001901
                      7,                 1.8686,                 1.6165,                 1.9776,                0.72415,                0.54613,                0.62842,                0.31866,                 1.7506,                 1.4713,                 1.8377,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.8452,                 1.5681,                 1.9621,                0.78479,                0.59023,                 0.6685,                0.34107,                 1.7856,                  1.269,                 1.8648,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7754,                 1.4662,                 1.8964,                0.77191,                0.63042,                 0.7075,                0.37308,                 1.7248,                  1.237,                 1.8002,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7633,                 1.4454,                 1.8729,                0.80112,                0.66036,                0.72777,                0.39015,                 1.6197,                 1.3146,                 1.7296,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7349,                 1.4112,                 1.8608,                0.78457,                0.64285,                0.71784,                0.38047,                 1.6678,                 1.2165,                 1.7529,               0.001802,               0.001802,               0.001802
                     12,                 1.7264,                 1.3509,                 1.8415,                0.82427,                 0.6446,                0.75109,                 0.4166,                 1.5418,                 1.1137,                   1.68,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.702,                 1.3312,                  1.804,                0.78966,                0.65091,                0.71697,                0.37403,                 1.6763,                 1.1949,                 1.7561,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6902,                 1.2947,                 1.7992,                0.83661,                 0.6777,                0.75991,                0.39846,                 1.6747,                  1.093,                 1.7394,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.6516,                 1.2338,                 1.7696,                0.84623,                0.68637,                0.78308,                0.43904,                 1.5357,                 1.0305,                  1.653,              0.0017228,              0.0017228,              0.0017228
