                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4988,                  3.116,                 3.5941,                 3.2961,                 4.5349,                 3.5244,                0.35502,                0.14657,                0.12975,                0.04347,                 2.8025,                 2.6157,                   2.47,                 2.6113,                 3.5245,                 2.2385,             0.00066267,             0.00066267,             0.00066267
                      2,                 2.5998,                  2.082,                 2.3818,                 2.5224,                 2.8226,                 2.0866,                0.39201,                0.31206,                0.27391,                 0.1071,                 2.1881,                 1.7682,                 1.8005,                 2.1675,                 2.6021,                 1.6381,              0.0013162,              0.0013162,              0.0013162
                      3,                 2.3419,                 1.8253,                 2.0364,                 2.3418,                 2.4875,                 1.8073,                0.42474,                0.33964,                0.31509,                0.14153,                 2.0946,                  1.686,                 1.6501,                 2.0947,                 2.3786,                 1.5124,              0.0019565,              0.0019565,              0.0019565
                      4,                 2.1903,                 1.6906,                 1.8557,                 2.2514,                 2.3103,                 1.6838,                0.48403,                0.37037,                0.35722,                 0.1743,                 1.9606,                 1.5042,                 1.5848,                 1.9979,                  2.153,                   1.48,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.0964,                 1.5962,                 1.7858,                 2.1815,                 2.1647,                 1.6335,                0.59125,                0.38692,                0.43164,                0.21721,                 1.8638,                 1.4142,                 1.5002,                 1.9974,                 2.0607,                 1.4155,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.0395,                 1.5472,                  1.744,                 2.1172,                 2.0912,                  1.596,                0.51591,                0.40741,                0.42535,                0.20385,                 2.0242,                  1.414,                 1.5344,                 2.1379,                 2.0582,                 1.4448,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.9865,                 1.4729,                 1.6817,                 2.0939,                 2.0076,                  1.546,                0.56244,                0.40741,                0.43304,                0.21227,                 1.9883,                  1.418,                 1.5111,                 2.0927,                 1.9891,                 1.4138,               0.001901,               0.001901,               0.001901
                      8,                  1.942,                 1.4372,                 1.6524,                 2.0468,                 1.9703,                 1.5304,                0.63695,                 0.4539,                0.50173,                0.27248,                 1.6767,                 1.2031,                 1.3933,                 1.8764,                 1.7344,                 1.3449,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.8746,                 1.3783,                 1.6146,                 1.9972,                 1.8774,                 1.4955,                0.65274,                0.44444,                0.49472,                0.25905,                 1.8074,                 1.2527,                 1.4285,                 1.9688,                 1.7671,                 1.3652,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.8674,                  1.348,                 1.5963,                 1.9916,                  1.858,                 1.4753,                 0.6594,                  0.487,                0.54187,                0.28299,                 1.7033,                  1.161,                 1.3889,                 1.9075,                  1.648,                 1.3467,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.8198,                 1.3042,                 1.5701,                  1.953,                 1.7926,                 1.4646,                0.66167,                 0.5067,                0.55191,                0.29525,                 1.6376,                 1.1217,                 1.3648,                 1.8313,                  1.624,                 1.3136,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.8043,                 1.2628,                 1.5487,                 1.9418,                 1.7474,                 1.4417,                0.64087,                0.47912,                0.52346,                0.28015,                 1.6557,                 1.2119,                 1.3708,                 1.8259,                 1.7929,                 1.3087,               0.001802,               0.001802,               0.001802
                     13,                 1.8093,                 1.2879,                  1.547,                 1.9607,                 1.7774,                 1.4386,                0.72498,                 0.4933,                0.57696,                 0.3138,                 1.5951,                 1.0518,                   1.34,                 1.8155,                 1.4981,                 1.2999,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.7712,                 1.2414,                  1.529,                 1.9268,                 1.7022,                 1.4327,                0.67898,                0.51694,                 0.5847,                0.32894,                 1.5391,                 1.0514,                 1.3196,                 1.7647,                 1.4774,                 1.2891,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.7342,                 1.1921,                 1.4949,                 1.8951,                 1.6509,                 1.4006,                0.67801,                0.52435,                 0.5951,                0.33136,                 1.5829,                  1.044,                 1.3338,                 1.7502,                 1.4967,                 1.2795,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.7041,                 1.1711,                 1.4872,                 1.8673,                 1.6111,                 1.3967,                0.72841,                0.52627,                0.60743,                0.33309,                 1.5736,                  1.016,                  1.321,                 1.8099,                 1.4524,                 1.2874,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.7037,                  1.158,                 1.4754,                 1.8731,                 1.5785,                 1.3909,                0.75433,                0.54689,                0.63815,                0.35758,                 1.5305,                0.97985,                 1.2958,                 1.7194,                 1.3318,                 1.2657,               0.001703,               0.001703,               0.001703
                     18,                 1.6874,                 1.1407,                 1.4699,                 1.8576,                 1.5877,                  1.387,                0.76426,                0.54415,                0.63887,                0.36097,                 1.4856,                0.95362,                 1.2878,                 1.7117,                 1.3439,                 1.2567,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.6662,                 1.1105,                 1.4548,                 1.8473,                 1.5348,                 1.3767,                0.72487,                0.57926,                0.63231,                0.35402,                 1.5625,                 0.9427,                 1.3061,                 1.8031,                 1.3308,                 1.2713,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.6424,                 1.0966,                 1.4445,                 1.8254,                 1.5118,                 1.3741,                0.74226,                 0.5721,                0.64711,                0.37311,                  1.493,                0.92286,                 1.2868,                 1.6997,                 1.2876,                 1.2592,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.6487,                 1.1025,                 1.4495,                  1.822,                 1.4984,                 1.3759,                0.74887,                0.58629,                 0.6682,                0.37327,                 1.4871,                0.91259,                 1.2869,                  1.723,                 1.2347,                 1.2721,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.6314,                 1.0874,                 1.4268,                 1.8313,                 1.5099,                 1.3565,                0.78629,                0.57695,                0.66644,                0.35629,                 1.5401,                0.94587,                  1.299,                 1.8059,                 1.3143,                 1.2701,               0.001604,               0.001604,               0.001604
                     23,                 1.6116,                 1.0542,                  1.412,                  1.799,                 1.4608,                 1.3467,                 0.7567,                0.59653,                0.67542,                0.37921,                 1.4971,                 0.8932,                 1.2777,                 1.7129,                 1.2425,                 1.2516,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.6242,                 1.0564,                 1.4303,                 1.8135,                 1.4651,                 1.3594,                0.77539,                0.59259,                0.66704,                 0.3753,                 1.5036,                0.89703,                 1.2767,                 1.7407,                 1.2038,                 1.2589,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.5828,                 1.0256,                  1.392,                 1.7873,                 1.4167,                 1.3321,                0.82221,                0.59496,                0.68572,                 0.3943,                 1.4765,                0.88013,                 1.2602,                 1.7059,                 1.2061,                 1.2522,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.5847,                 1.0247,                 1.4062,                 1.7849,                 1.4179,                 1.3448,                0.77981,                0.60993,                 0.6741,                0.38555,                 1.4679,                0.87726,                 1.2557,                 1.6776,                 1.2064,                 1.2324,              0.0015248,              0.0015248,              0.0015248
