                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3165,                 2.7539,                  3.512,                 3.1396,                 4.1006,                 3.3632,                0.33172,                0.20883,                 0.1678,                0.06323,                 2.5725,                 2.3906,                 2.3623,                 2.3812,                 3.0618,                 2.1296,             0.00066267,             0.00066267,             0.00066267
                      2,                 2.4891,                 1.8524,                 2.3969,                 2.4764,                 2.5095,                 2.1028,                0.42717,                0.35382,                0.32157,                0.12729,                 2.1337,                 1.6564,                 1.7795,                 2.2007,                 2.4165,                 1.6732,              0.0013162,              0.0013162,              0.0013162
                      3,                 2.2184,                 1.6444,                 2.0479,                 2.2987,                 2.2243,                 1.8406,                0.53533,                 0.3814,                0.40069,                0.18026,                 1.9367,                 1.8194,                 1.6414,                 2.0245,                 2.4375,                 1.5361,              0.0019565,              0.0019565,              0.0019565
                      4,                  2.121,                 1.5305,                  1.914,                 2.2262,                 2.0854,                 1.7415,                0.58874,                0.39708,                0.42104,                0.20604,                 1.9976,                 1.3573,                 1.6383,                 2.0091,                 1.9515,                 1.5029,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.0043,                 1.4309,                 1.8214,                 2.1218,                  1.954,                 1.6761,                0.65823,                0.44681,                0.49892,                0.24386,                 1.8004,                 1.2788,                 1.5392,                 1.9951,                 1.8074,                 1.4699,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.9501,                 1.3812,                 1.7783,                 2.0779,                 1.8852,                 1.6446,                0.55569,                0.44448,                0.44333,                0.20075,                 1.9958,                 1.2716,                   1.59,                 2.0967,                 1.8669,                 1.4897,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.864,                 1.2862,                 1.6937,                 2.0308,                 1.7781,                 1.5808,                0.63152,                0.47754,                0.53937,                0.28634,                  1.734,                 1.1334,                 1.4604,                   1.88,                 1.6176,                 1.3955,               0.001901,               0.001901,               0.001901
                      8,                 1.8508,                 1.2575,                 1.6763,                 1.9933,                  1.726,                 1.5682,                0.67409,                0.52955,                0.57881,                0.29172,                 1.7179,                 1.1332,                 1.4304,                  1.945,                 1.6171,                 1.3921,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.7522,                  1.172,                 1.6088,                 1.9212,                 1.6218,                 1.5207,                0.71567,                 0.5398,                0.61126,                0.33428,                  1.588,                0.99119,                   1.39,                 1.8271,                  1.375,                 1.3609,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.7431,                   1.16,                 1.5959,                 1.9238,                 1.6054,                 1.5005,                0.70402,                0.55634,                0.62102,                0.32337,                 1.6449,                 1.0108,                 1.4279,                 1.8155,                 1.4447,                 1.3743,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.7282,                 1.1453,                 1.5796,                 1.8882,                 1.5753,                 1.4906,                0.73639,                0.52561,                0.61011,                 0.2875,                 1.8238,                   1.04,                 1.4444,                 1.9984,                 1.4852,                 1.3839,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.6928,                 1.0882,                 1.5447,                 1.8645,                  1.492,                 1.4567,                0.70112,                0.56422,                0.62773,                0.34418,                 1.5396,                0.90202,                 1.3702,                 1.7662,                 1.3095,                 1.3397,               0.001802,               0.001802,               0.001802
                     13,                 1.6972,                 1.1041,                 1.5424,                 1.8991,                 1.5211,                 1.4573,                 0.7458,                0.60111,                0.67894,                0.35355,                 1.5473,                0.92959,                 1.3471,                 1.7891,                  1.269,                 1.3183,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.6586,                 1.0697,                 1.5247,                 1.8466,                 1.4575,                 1.4447,                0.72598,                0.61381,                0.66765,                0.36196,                 1.5131,                0.89056,                 1.3466,                 1.7806,                 1.2184,                  1.324,              0.0017624,              0.0017624,              0.0017624
