                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4634,                 2.8424,                 3.5992,                0.05682,                0.27502,                0.03013,                0.00991,                 3.1025,                 18.674,                 2.7134,             0.00066267,             0.00066267,             0.00066267
                      2,                 2.5913,                 2.0129,                 2.4588,                0.46932,                0.35612,                 0.3271,                0.13147,                 2.1812,                 1.8404,                  1.823,              0.0013162,              0.0013162,              0.0013162
                      3,                 2.3527,                 1.8109,                 2.1078,                0.59333,                0.38692,                0.41867,                0.18778,                 2.0593,                 1.9876,                 1.6794,              0.0019565,              0.0019565,              0.0019565
                      4,                  2.219,                 1.6667,                 1.9348,                 0.6482,                0.42978,                0.47282,                 0.2386,                 1.9133,                 1.4238,                 1.6002,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.0996,                 1.5533,                 1.8274,                0.72647,                0.47092,                0.52839,                0.26892,                  1.883,                 1.3231,                 1.5479,              0.0019208,              0.0019208,              0.0019208
                      6,                  2.041,                 1.4935,                 1.7806,                0.66776,                0.44664,                0.51213,                0.25825,                 1.8886,                  1.296,                 1.5088,               0.001901,               0.001901,               0.001901
                      7,                 1.9521,                 1.3993,                 1.6909,                0.69211,                0.50197,                0.55925,                0.29986,                 1.7743,                 1.2017,                 1.4428,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.9228,                 1.3797,                 1.6662,                0.76131,                0.51773,                0.58662,                0.31566,                 1.7381,                 1.1434,                 1.4306,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.8208,                 1.2893,                 1.6072,                0.76209,                0.51143,                0.59456,                0.30941,                 1.7768,                 1.1458,                 1.4237,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.8369,                 1.2938,                 1.5999,                0.73967,                0.54689,                0.62336,                0.33112,                 1.6743,                  1.096,                 1.3997,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7996,                 1.2546,                 1.5782,                0.77708,                0.55215,                0.63531,                0.35045,                 1.6199,                 1.0307,                 1.3735,               0.001802,               0.001802,               0.001802
                     12,                 1.7761,                 1.2122,                 1.5526,                 0.7492,                0.55162,                0.63131,                0.34143,                 1.6382,                 1.0432,                 1.3715,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.7652,                 1.2171,                 1.5387,                   0.81,                0.54759,                0.64905,                0.35989,                 1.6187,                 1.0336,                 1.3637,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.7446,                 1.1826,                 1.5332,                0.80743,                0.59417,                0.67103,                0.36946,                 1.5524,                0.96066,                 1.3322,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.6985,                 1.1293,                 1.4886,                0.79475,                0.57973,                0.66262,                0.36926,                 1.5769,                 1.1559,                 1.3276,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6831,                 1.1205,                 1.4885,                0.81253,                0.57368,                0.66628,                0.36955,                 1.5856,                0.99961,                 1.3344,               0.001703,               0.001703,               0.001703
                     17,                 1.6922,                 1.1184,                 1.4847,                0.77828,                0.61623,                0.67831,                0.35845,                  1.674,                 1.0072,                 1.3539,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6701,                 1.1044,                 1.4724,                0.81464,                0.60954,                0.69633,                0.38183,                 1.5903,                0.92384,                 1.3347,              0.0016634,              0.0016634,              0.0016634
