                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3245,                 2.6008,                 3.5632,                0.51244,                0.32309,                0.30853,                0.11011,                 2.6184,                 2.4504,                 2.2901,             0.00066267,             0.00066267,             0.00066267
                      2,                  2.525,                 1.8821,                 2.4448,                0.35059,                0.39007,                0.22153,                0.08882,                 2.1388,                 2.9208,                 1.8206,              0.0013162,              0.0013162,              0.0013162
                      3,                 2.2663,                 1.6436,                 2.0919,                0.62327,                0.39874,                0.44462,                0.18928,                 2.0347,                 1.5972,                 1.7155,              0.0019565,              0.0019565,              0.0019565
                      4,                 2.1059,                 1.5167,                 1.9259,                0.64073,                0.42553,                0.46716,                0.21523,                 2.0548,                 1.3616,                 1.6662,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9974,                 1.4022,                 1.8353,                0.78698,                0.49645,                0.56954,                0.30553,                 1.7626,                 1.2073,                  1.535,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.9245,                 1.3413,                 1.7879,                0.71677,                0.48859,                0.56466,                0.28207,                 1.8315,                  1.246,                  1.506,               0.001901,               0.001901,               0.001901
                      7,                 1.8439,                 1.2628,                  1.696,                0.79107,                0.53901,                0.62371,                0.32073,                 1.7357,                  1.123,                 1.4617,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.8127,                 1.2285,                 1.6737,                0.81629,                0.57998,                0.65351,                0.35809,                 1.6273,                 1.0871,                  1.419,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7374,                 1.1563,                 1.6239,                0.75472,                0.57132,                0.65011,                0.33839,                 1.7642,                 1.0461,                 1.4681,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7128,                 1.1284,                 1.5994,                0.81678,                 0.5972,                0.68009,                 0.3679,                 1.5622,                  1.007,                 1.3964,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7203,                 1.1263,                  1.598,                0.78517,                0.57132,                 0.6554,                0.32258,                 1.8083,                 1.0502,                 1.4672,               0.001802,               0.001802,               0.001802
                     12,                  1.684,                 1.0764,                 1.5637,                0.80531,                0.64145,                0.70354,                0.37621,                 1.5938,                0.92277,                  1.412,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6667,                   1.08,                 1.5453,                0.81824,                0.63501,                 0.7152,                 0.4052,                 1.5402,                0.89046,                 1.3724,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6495,                 1.0513,                 1.5384,                0.80312,                0.64935,                0.71402,                0.40245,                 1.5092,                 0.9079,                 1.3567,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5914,                0.99919,                  1.492,                0.84951,                0.63613,                0.72252,                0.40782,                 1.5101,                0.90601,                 1.3558,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.571,                0.97846,                 1.4937,                0.83613,                0.65943,                 0.7215,                0.41312,                 1.4824,                0.87226,                 1.3402,               0.001703,               0.001703,               0.001703
                     17,                 1.5566,                0.96795,                 1.4784,                0.83716,                0.66035,                0.73873,                0.42369,                 1.4719,                 0.8756,                 1.3406,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5712,                0.96404,                 1.4835,                0.84182,                0.68006,                 0.7612,                 0.4422,                 1.4374,                0.78276,                 1.3165,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.5333,                0.92757,                 1.4543,                0.81716,                0.66563,                0.73931,                0.42246,                 1.4738,                0.82388,                 1.3212,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4956,                 0.9106,                  1.437,                 0.8713,                0.68479,                0.75618,                 0.4272,                 1.5084,                0.83379,                 1.3368,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.5054,                0.89464,                 1.4421,                0.84347,                0.70292,                0.75549,                0.43318,                 1.4387,                0.79359,                 1.3293,               0.001604,               0.001604,               0.001604
                     22,                 1.4787,                0.88367,                 1.4219,                0.87228,                 0.6889,                0.76288,                0.42566,                 1.4912,                0.80639,                 1.3435,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.4776,                 0.8791,                 1.4179,                0.88131,                0.65535,                0.75417,                0.43868,                 1.4596,                0.79362,                 1.3277,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.4738,                0.86625,                 1.4192,                0.86942,                0.69785,                0.77013,                0.44293,                 1.4316,                0.77494,                  1.313,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4326,                0.84425,                 1.3768,                0.86926,                0.69582,                0.77643,                0.45301,                 1.4256,                0.74984,                 1.3175,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.4163,                0.83446,                 1.3925,                0.84111,                0.69346,                0.76553,                0.45038,                 1.4068,                0.76144,                 1.3136,               0.001505,               0.001505,               0.001505
                     27,                 1.4112,                0.81729,                  1.375,                0.83855,                0.72036,                0.77333,                0.44411,                 1.4105,                0.76128,                 1.3185,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.3977,                0.81454,                 1.3586,                 0.8943,                0.66982,                0.76592,                0.45685,                 1.4017,                0.74522,                  1.305,              0.0014654,              0.0014654,              0.0014654
                     29,                   1.39,                0.80318,                 1.3666,                0.87553,                0.70397,                0.78091,                0.45247,                 1.4102,                0.77948,                 1.3034,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3884,                0.79582,                 1.3512,                0.83189,                0.68873,                0.76826,                0.43826,                 1.4555,                0.76713,                 1.3271,              0.0014258,              0.0014258,              0.0014258
                     31,                  1.356,                0.77237,                 1.3219,                0.85208,                0.70292,                 0.7732,                0.43925,                 1.4456,                0.78416,                 1.3346,               0.001406,               0.001406,               0.001406
                     32,                 1.3439,                0.77707,                 1.3359,                0.86627,                0.71001,                0.78505,                0.45761,                 1.3965,                0.74247,                  1.319,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3451,                0.75584,                 1.3278,                0.89081,                0.68792,                0.77913,                0.45572,                 1.4101,                 0.7367,                 1.3117,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3431,                0.75888,                 1.3146,                0.86474,                0.71538,                0.79317,                0.46516,                 1.4042,                0.73904,                 1.3162,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3167,                0.74959,                 1.3067,                0.89287,                0.70134,                0.77974,                0.45793,                 1.4052,                0.74867,                 1.3143,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3143,                0.73568,                 1.2928,                0.89723,                0.69898,                0.78052,                0.45299,                 1.4017,                0.73399,                 1.3273,               0.001307,               0.001307,               0.001307
                     37,                 1.3111,                0.73415,                 1.3036,                0.88253,                0.69976,                0.78305,                0.44297,                 1.4402,                0.74999,                 1.3395,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2983,                0.73185,                 1.3016,                0.86926,                0.69898,                0.78669,                0.45828,                 1.3984,                 0.7198,                 1.3138,              0.0012674,              0.0012674,              0.0012674
                     39,                  1.274,                0.71965,                 1.2833,                0.86447,                0.69365,                0.77256,                0.44292,                 1.4352,                0.74107,                 1.3518,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2715,                0.71668,                 1.2738,                0.85522,                0.72618,                0.79473,                0.45264,                 1.4119,                  0.734,                 1.3276,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2693,                0.70696,                 1.2693,                0.85581,                0.70628,                0.78349,                0.45116,                 1.4096,                0.72499,                 1.3366,               0.001208,               0.001208,               0.001208
                     42,                  1.256,                0.69234,                 1.2635,                0.85496,                0.70605,                0.78634,                0.45846,                 1.4127,                0.73064,                 1.3257,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2656,                0.70321,                 1.2691,                0.85807,                0.70033,                0.77659,                0.44922,                 1.4308,                0.74147,                 1.3482,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2286,                0.67675,                 1.2477,                0.84512,                0.72498,                0.77897,                0.45251,                 1.4146,                 0.7159,                 1.3445,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2219,                0.67389,                  1.237,                0.82732,                0.72734,                0.77888,                0.45071,                 1.4062,                0.70974,                 1.3391,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2155,                0.66319,                 1.2315,                0.89031,                0.69898,                0.79396,                0.46039,                 1.4058,                0.70011,                 1.3444,               0.001109,               0.001109,               0.001109
                     47,                 1.2047,                0.66781,                 1.2253,                0.86603,                0.71824,                0.79212,                0.46106,                 1.4236,                 0.7229,                  1.355,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1962,                0.66294,                 1.2289,                0.86676,                0.71254,                0.79087,                0.45509,                 1.4056,                0.71376,                 1.3495,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1856,                0.65037,                 1.2176,                0.85985,                0.72036,                0.78948,                0.45763,                 1.3958,                0.70818,                 1.3515,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1765,                0.64923,                 1.2112,                 0.8485,                0.73704,                0.79491,                0.45616,                 1.4109,                0.70385,                 1.3607,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1774,                0.64491,                 1.2019,                0.83509,                0.74622,                0.79106,                0.45199,                 1.4226,                0.70505,                 1.3626,                0.00101,                0.00101,                0.00101
                     52,                 1.1635,                0.63793,                 1.1951,                0.85561,                0.72845,                0.78646,                0.45101,                 1.3988,                0.72676,                 1.3517,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1307,                0.62015,                  1.185,                 0.8353,                 0.7502,                0.78886,                0.45977,                 1.3791,                 0.7019,                 1.3513,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.129,                0.61669,                 1.1786,                0.85179,                0.72918,                0.79009,                0.45359,                 1.3994,                0.71267,                 1.3549,              0.0009506,              0.0009506,              0.0009506
