                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2065,                 2.6087,                 3.4548,                0.08071,                0.30812,                 0.0414,                0.01462,                 2.8957,                  8.242,                 3.1363,             0.00066267,             0.00066267,             0.00066267
                      2,                   2.44,                 1.8616,                 2.3561,                0.51809,                0.38455,                0.36189,                0.12774,                 2.1753,                 1.8785,                 1.8661,              0.0013162,              0.0013162,              0.0013162
                      3,                 2.1756,                 1.6189,                  2.017,                 0.7158,                 0.4279,                0.50306,                0.25387,                 1.8574,                 1.5193,                 1.5913,              0.0019565,              0.0019565,              0.0019565
                      4,                 2.0454,                 1.4802,                  1.862,                0.65673,                0.49488,                0.52772,                0.26784,                 1.8604,                 1.2706,                 1.5495,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9352,                 1.3507,                 1.7612,                0.75933,                 0.5271,                0.60643,                0.32939,                 1.6463,                 1.1239,                 1.4688,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.8905,                 1.3062,                 1.7233,                0.71153,                0.54034,                0.60589,                0.29053,                 1.8371,                 1.2718,                  1.493,               0.001901,               0.001901,               0.001901
                      7,                 1.8031,                 1.2219,                 1.6368,                 0.8203,                0.60599,                 0.6783,                0.37654,                 1.5807,                 1.0212,                 1.3967,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7692,                 1.1772,                 1.6122,                 0.8354,                 0.6079,                0.68291,                0.37782,                  1.564,                 1.0456,                 1.3874,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7197,                 1.1108,                 1.5833,                0.81517,                0.62963,                0.70227,                0.39074,                 1.5914,                0.93378,                  1.371,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.684,                 1.0889,                 1.5451,                0.81972,                0.64852,                0.70895,                0.39348,                 1.5252,                 1.0402,                 1.3631,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.6744,                 1.0735,                 1.5391,                0.84754,                0.63959,                0.72305,                0.41134,                 1.4966,                0.86631,                 1.3524,               0.001802,               0.001802,               0.001802
                     12,                 1.6429,                  1.018,                  1.508,                0.85605,                0.63733,                0.73489,                0.42216,                 1.4719,                0.83184,                 1.3285,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6304,                 1.0268,                 1.4937,                0.84969,                0.63987,                0.73581,                0.40923,                 1.5232,                0.91032,                  1.339,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6063,                0.99162,                 1.4847,                0.84417,                0.66036,                0.73331,                0.41653,                 1.4924,                0.85574,                 1.3127,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5564,                0.94599,                 1.4382,                0.87161,                0.66194,                0.75826,                0.42494,                 1.4828,                0.83005,                 1.3081,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5455,                0.93286,                 1.4462,                0.85299,                0.68479,                0.75628,                0.43863,                 1.4195,                0.79061,                 1.2992,               0.001703,               0.001703,               0.001703
                     17,                 1.5143,                0.91396,                 1.4231,                 0.8645,                0.67373,                0.75164,                0.42927,                 1.4687,                0.81698,                 1.3095,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5035,                0.90182,                 1.4118,                0.87427,                0.67399,                0.76745,                0.43596,                 1.4356,                 0.7598,                 1.2966,              0.0016634,              0.0016634,              0.0016634
