                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0355,                 3.0485,                 3.5844,                0.36284,                0.26478,                0.23328,                0.09083,                 2.4123,                 2.2681,                 2.6534,             0.00066267,             0.00066267,             0.00066267
                      2,                 2.4991,                 2.3702,                 2.7719,                0.51266,                0.35225,                 0.3604,                0.15355,                 2.1531,                 2.5982,                  2.305,              0.0013162,              0.0013162,              0.0013162
                      3,                 2.2661,                 2.1267,                 2.4752,                0.65378,                0.39086,                0.44342,                0.23143,                 1.9233,                 1.8497,                 2.0995,              0.0019565,              0.0019565,              0.0019565
                      4,                 2.1396,                 1.9881,                 2.2966,                0.50123,                0.39322,                0.41484,                0.21881,                 1.8246,                 1.9174,                 1.9868,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.0239,                 1.8418,                 2.1785,                 0.7327,                0.45578,                0.54295,                0.28343,                 1.8088,                 1.6987,                 1.9457,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.9536,                 1.7451,                 2.1119,                 0.7036,                0.48069,                0.55137,                0.25766,                 2.0303,                 1.9057,                 2.0341,               0.001901,               0.001901,               0.001901
                      7,                 1.8901,                 1.6476,                 2.0201,                0.72982,                0.51143,                0.59311,                 0.3027,                 1.7596,                 1.4375,                 1.8596,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.8532,                 1.6038,                 1.9995,                0.75095,                0.54768,                0.63648,                0.35181,                 1.6451,                 1.2849,                 1.8059,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7964,                 1.5062,                 1.9414,                0.78475,                0.54586,                0.65376,                 0.3566,                 1.6732,                 1.3149,                 1.7858,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7732,                 1.4642,                 1.9056,                0.77671,                0.58944,                0.68021,                0.36492,                  1.664,                 1.3934,                 1.7714,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7416,                 1.4306,                 1.8878,                0.81889,                0.62411,                0.72245,                 0.4115,                 1.5621,                 1.1358,                 1.7105,               0.001802,               0.001802,               0.001802
                     12,                  1.724,                 1.3771,                 1.8618,                0.80055,                0.63577,                0.72191,                0.41039,                 1.5486,                 1.1067,                 1.6931,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.7212,                 1.3757,                 1.8458,                0.83866,                0.62261,                0.72842,                0.41008,                  1.604,                 1.1603,                 1.7086,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6859,                  1.318,                 1.8268,                 0.8159,                0.63278,                0.74166,                0.42329,                 1.5252,                 1.0676,                 1.6728,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.6462,                  1.258,                 1.7955,                0.78243,                0.65169,                 0.7347,                0.40684,                 1.5891,                 1.0808,                 1.6984,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6333,                 1.2444,                 1.7829,                0.82024,                0.67691,                0.76408,                0.43322,                 1.5263,                 1.0237,                 1.6741,               0.001703,               0.001703,               0.001703
                     17,                 1.6032,                  1.216,                 1.7583,                0.82697,                0.68479,                 0.7715,                0.43846,                 1.5372,                  1.022,                 1.6526,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5955,                 1.1838,                 1.7496,                0.84381,                0.66194,                 0.7757,                0.45128,                 1.4919,                0.97432,                 1.6336,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.5874,                 1.1578,                 1.7415,                0.85678,                0.65957,                0.77556,                0.44968,                 1.5151,                0.99512,                 1.6376,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.5684,                 1.1383,                  1.718,                0.86212,                0.68873,                0.78598,                0.44689,                 1.5213,                0.98217,                 1.6505,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.5516,                 1.1039,                 1.7089,                0.84633,                0.69188,                0.78301,                0.45672,                 1.4627,                0.93558,                  1.622,               0.001604,               0.001604,               0.001604
